udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,noise_flags,temp_difference,temp_ratio,temp_excess,power_w,power_per_tool_wear,torque_speed_product,wear_ratio,wear_level,wear_exponential,tool_wear_min_rolling_mean_5,tool_wear_min_rolling_std_5,tool_wear_min_rolling_min_5,tool_wear_min_rolling_max_5,rotational_speed_rpm_rolling_mean_5,rotational_speed_rpm_rolling_std_5,rotational_speed_rpm_rolling_min_5,rotational_speed_rpm_rolling_max_5,torque_nm_rolling_mean_5,torque_nm_rolling_std_5,torque_nm_rolling_min_5,torque_nm_rolling_max_5,process_temperature_k_rolling_mean_5,process_temperature_k_rolling_std_5,process_temperature_k_rolling_min_5,process_temperature_k_rolling_max_5,health_index,health_grade,failure_risk_score,power_anomaly_score,speed_stability,torque_variability,temp_torque_interaction,power_wear_interaction,critical_stress_indicator,product_age,udi_rank
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,0,10.5,1.0352230760307848,0.0,6951.952077747988,6951.952077747988,66382.79999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1551.0,0.0,1551.0,1551.0,42.8,0.0,42.8,42.8,308.6,0.0,308.6,308.6,0.1818552690052646,Excellent,0,,,,6.768072187227828,0.0,0.1404956654111814,0,0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,0,10.5,1.0352112641341005,0.0,6827.077747989276,1706.769436997319,65190.399999999994,0.012195121901645846,0.0,0.012269785603027161,1.5,2.1213203435596424,0.0,3.0,1479.5,101.1162697096763,1408.0,1551.0,44.55,2.4748737341529163,42.8,46.3,308.65,0.07071067811865074,308.6,308.7,0.19066404286646635,Excellent,0,0.08870750658013435,0.21126421116075256,0.2693843214955371,7.3215360343142155,83.25704536874302,0.14465515450815233,0,1
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,0,10.399999999999977,1.0348876181318765,0.0,7749.790549597855,1291.6317582663091,74001.2,0.020325203169409743,0.0,0.02053316668858529,2.6666666666666665,2.516611478423583,0.0,5.0,1485.6666666666667,72.29338374521788,1408.0,1551.0,46.166666666666664,3.302019584032375,42.8,49.4,308.59999999999997,0.0999999999999801,308.5,308.7,0.22163207830667625,Good,0,0.5029026055939196,0.4360909552947413,0.3594172474071666,7.737349281064,157.516067440948,0.19087667068399355,0,2
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,0,10.400000000000034,1.0348759187294572,0.0,5927.812918900804,740.9766148626005,56603.5,0.028455284437173642,0.0,0.02886400357291974,3.75,2.9860788111948193,0.0,7.0,1472.5,64.63487190879755,1408.0,1551.0,44.5,4.287190222045203,39.5,49.4,308.6,0.08164965809275636,308.5,308.7,0.19359021764814868,Excellent,0,0.7495867386058456,0.4958295353667438,0.46665080854447727,6.186746894777928,168.6776026976749,0.1275287680000068,0,3
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,0,10.5,1.0352112641341005,0.0,5898.123324396783,589.8123324396782,56320.0,0.03658536570493754,0.0,0.03726284691256487,4.8,3.492849839314596,0.0,9.0,1459.6,62.970628073729735,1408.0,1551.0,43.6,4.223150482755735,39.5,49.4,308.62,0.0836660026534045,308.5,308.7,0.2001950294497008,Good,0,0.7808865753342192,0.508811112691955,0.4596802300138723,6.325301109558718,215.78499879587824,0.13121920631304523,0,4
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,0,10.5,1.0352230760307848,0.0,6252.87994302949,521.0733285857908,59707.5,0.04471544697270143,0.0,0.04573025185918511,7.0,3.1622776601683795,3.0,11.0,1434.4,37.17929531338641,1408.0,1498.0,43.419999999999995,4.284506972803289,39.5,49.4,308.62,0.0836660026534045,308.5,308.7,0.18756365538357633,Excellent,0,0.719185322520382,0.5470614721784137,0.4180328124106104,6.625752912262757,279.60032151920353,0.13033439651666204,0,5
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,0,10.5,1.0352230760307848,0.0,6918.063002680965,461.204200178731,66059.2,0.056910568874347284,0.0,0.05856113784809702,9.2,3.492849839314596,5.0,14.0,1464.4,62.46839200747842,1408.0,1558.0,42.64,3.9727824002832084,39.5,49.4,308.6,0.07071067811863264,308.5,308.7,0.1971115343089903,Excellent,0,0.6674521114579643,0.4849504535959317,0.38346890668229855,6.704819176132241,393.71090099114883,0.151539837942299,0,6
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,0,10.5,1.0352230760307848,0.0,6428.598357908847,378.15284458287334,61385.4,0.06504065014211118,0.0,0.06720240543190603,11.4,3.646916505762094,7.0,16.0,1470.2,67.51073988633212,1408.0,1558.0,40.8,1.2708265027138925,39.5,42.4,308.62,0.04472135955000755,308.6,308.7,0.1825790550406369,Excellent,0,0.622769818662245,0.49679304112425937,0.3731536537886577,6.356927615106512,418.12021670089973,0.13043601294726914,0,7
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,0,10.399999999999977,1.0348642271710886,0.0,4992.899631367292,262.7841911245943,47676.200000000004,0.07317073140987508,0.0,0.07591421358515893,13.6,3.646916505762094,9.0,18.0,1517.0,105.62433431742892,1408.0,1667.0,38.62,5.697543330243311,28.6,42.4,308.64,0.05477225575056409,308.6,308.7,0.22715585985238645,Good,0,0.7974888742835329,0.3157524484140817,0.6226954392755493,4.479518004826526,365.3341178832405,0.1260396091174416,0,8
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,0,10.5,1.0351876640911941,0.0,4460.225368632708,178.4090147453083,42589.799999999996,0.09756097521316677,0.0,0.10247866338538447,16.6,4.878524367060187,11.0,24.0,1591.8,136.92589236517685,1425.0,1782.0,35.4,8.555407646629124,23.9,42.4,308.67999999999995,0.13038404810410414,308.6,308.9,0.24848997930920713,Good,0,0.9799674997609784,0.04626430367987344,0.8370349838938863,3.7793674129613337,435.1439366343132,0.12316745015156591,0,9
